time,id,activity,circumplex.arousal,circumplex.valence,screen,appCat.builtin,appCat.communication,appCat.main,appCat.tools,appCat.contact,mood
2014-03-20,AS14.01,0.08154761904761905,0.1,0.5666666666666667,2275.9440002441406,248.979,2168.229,1158.587,77.592,1.0,6.566666666666666
2014-03-23,AS14.01,0.14274111580506366,0.2,0.8,6773.832001447675,1286.246,5237.319,1038.588,133.29500000000002,1.6666666666666665,6.8
2014-03-26,AS14.01,0.10130832167007592,-0.2,0.6,16423.80100035667,1167.497,8988.753,5554.869000000001,130.863,2.333333333333333,6.6
2014-03-27,AS14.01,0.15951064096909748,0.2,0.8,17442.14999938011,1229.327,6936.512,1799.3899999999999,284.875,3.0,7.0
2014-03-29,AS14.01,0.06820281010186964,0.2,1.0,8322.6219997406,1952.63,2720.692,2100.317,822.6659999999999,5.0,8.0
2014-03-30,AS14.01,0.049092970521542,-0.5,0.75,4523.2140009403265,414.365,1298.505,1703.3619999999999,178.776,5.5,7.5
2014-03-31,AS14.01,0.07050548088338955,0.0,0.6,11836.834000349041,2961.4049999999997,5332.637,3202.0060000000003,691.53,6.0,7.4
2014-04-04,AS14.01,0.12668931120732582,0.2,0.4,12379.411000013357,1957.829,5481.628,3631.424,463.734,3.0,6.2
2014-04-07,AS14.01,0.050670621174317886,-0.6666666666666666,0.25,9846.380999803541,927.377,7355.015,1985.774,436.40600000000006,1.0,6.5
2014-04-09,AS14.01,0.12038411453232876,-0.8,1.0,13558.28900098801,1638.617,6177.076,3767.12,924.0129999999999,4.0,7.4
2014-04-10,AS14.01,0.07896310519489107,-0.4,0.8,9296.09899926186,715.355,4881.411,3057.864,485.606,7.0,7.4
2014-04-11,AS14.01,0.07998620207306052,-1.2,0.8,10526.846000194553,3369.031,3336.592,2667.0379999999996,300.334,7.5,7.0
2014-04-12,AS14.01,0.07224906147031816,-0.75,0.75,11750.809000968928,302.446,6595.083,2450.9139999999998,436.456,8.0,7.25
2014-04-13,AS14.01,0.014021328954370726,-1.25,1.0,2005.7509992122655,447.415,1096.795,366.307,94.209,8.5,8.0
2014-04-15,AS14.01,0.09011215278072526,0.0,0.8,13585.222998380666,1596.356,6224.231,5385.775,398.571,9.0,6.4
2014-04-16,AS14.01,0.11611033612712222,0.75,0.5,12522.47499895096,923.613,5175.016,2339.5860000000002,264.371,1.0,7.2
2014-04-17,AS14.01,0.05691785667209682,-0.4,0.6,15018.48000073434,552.201,11853.339,2249.387,103.481,2.0,6.6
2014-04-18,AS14.01,0.09403300669497609,-0.8,0.8,13490.728999614706,1860.8980000000001,5341.657,2887.4390000000003,200.34300000000002,1.0,6.8
2014-04-19,AS14.01,0.09943191172384026,-0.2,1.0,13293.2480006218,946.1899999999999,2728.26,990.659,466.168,1.0,7.8
2014-04-20,AS14.01,0.07481624304311596,-0.25,0.75,8343.518000364307,897.086,4984.724,2975.84,155.237,4.0,7.25
2014-04-21,AS14.01,0.10204105896824717,-0.25,1.0,3832.9909992218018,3442.2319999999995,2004.347,537.1179999999999,337.209,2.0,7.6
2014-04-22,AS14.01,0.09192955182229205,0.2,1.0,15490.269999265669,2212.954,11360.913,2562.018,486.375,2.0,7.4
2014-04-23,AS14.01,0.04598568913376553,0.2,1.0,14535.339999437334,1130.8419999999999,8928.472,892.076,289.342,1.0,7.6
2014-04-25,AS14.01,0.10906106363682745,-0.2,0.8,13973.941999673845,817.613,7279.144,2899.5969999999998,480.137,3.0,7.2
2014-05-03,AS14.01,0.07174088489517204,-0.2,1.0,8186.036000728605,753.2570000000001,4539.776,3263.865,339.907,1.0,8.0
2014-05-04,AS14.01,0.13619180837703837,-0.5,1.0,5889.194999456405,1758.438,3381.6890000000003,1423.0829999999999,35.525,1.0,8.0
2014-05-05,AS14.01,0.007842595452107337,-0.5,1.0,1788.7339999675771,438.347,826.7869999999999,343.618,264.331,1.0,8.0
2014-03-18,AS14.02,0.21948438425543756,0.6,0.8,4512.4710013866425,2604.5209999999997,3933.081,301.307,88.72200000000001,16.0,8.2
2014-03-19,AS14.02,0.31563175685064315,0.4,0.4,8182.757000207905,1554.558,2596.989,243.954,672.701,6.0,6.8
2014-03-20,AS14.02,0.23902496021034736,-0.5,0.75,4360.33400130272,1777.977,2154.371,279.778,86.857,11.0,7.25
2014-03-24,AS14.02,0.15612466250149995,0.2,-0.2,2766.6489994525905,1073.496,3012.181,764.8140000000001,81.80799999999999,5.0,6.4
2014-03-25,AS14.02,0.23051365485645373,-1.25,0.75,4637.388000011446,2806.931,2788.751,608.036,50.375,7.0,7.75
2014-03-30,AS14.02,0.24188730879396786,-1.0,0.75,3937.0419988632193,772.787,1110.856,1601.4950000000001,113.22800000000001,11.0,7.0
2014-04-01,AS14.02,0.26196053218905446,-0.2,0.8,3297.737997055054,2790.014,1322.61,268.097,531.613,3.0,7.4
2014-04-02,AS14.02,0.3191205617996335,-0.6,-0.2,6883.828001737594,1964.21,2942.423,1339.355,128.744,2.0,6.4
2014-04-03,AS14.02,0.32250583990998866,-0.25,0.0,6814.30000090599,1269.299,3595.431,671.2080000000001,374.426,2.0,5.75
2014-04-04,AS14.02,0.22727035660896047,-1.2,0.2,3653.370000839234,1121.689,2809.436,951.048,148.852,5.0,6.4
2014-04-08,AS14.02,0.26195103762156396,-0.25,0.5,4079.151999473574,1184.778,2265.855,829.733,134.434,11.0,6.25
2014-04-09,AS14.02,0.24720984804489024,-0.5,0.25,5757.426000595091,1427.022,2255.545,921.557,61.397,13.0,7.25
2014-04-10,AS14.02,0.2607506038432931,0.25,0.75,7844.238998651505,1303.452,2726.237,1262.131,668.372,2.0,7.25
2014-04-11,AS14.02,0.4244814273084369,-0.5,0.5,5810.030001163483,1548.192,2343.793,1020.3689999999999,767.057,8.0,6.5
2014-04-13,AS14.02,0.28982011828279997,-0.6,0.4,2174.8709976673135,510.913,855.219,494.591,238.75799999999998,1.0,7.2
2014-04-15,AS14.02,0.1736288831786874,-0.5,0.5,701.2870004177095,98.266,445.91700000000003,45.044000000000004,238.75799999999998,15.0,7.25
2014-04-16,AS14.02,0.3532763532763534,-0.3333333333333333,0.3333333333333333,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,17.0,6.666666666666667
2014-04-18,AS14.02,0.2831366164699499,0.0,0.0,109.28399968147278,125.13300000000001,445.91700000000003,45.044000000000004,238.75799999999998,3.0,6.5
